image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.813033,car,car,True
drive_022,2,3,0.736579,car,car,True
drive_022,3,4,0.721277,car,car,True
drive_022,4,2,0.931019,bus,van,False
drive_022,5,5,0.828342,truck,bus,False
drive_033,4,7,0.87133,car,car,True
drive_033,5,5,0.754985,car,car,True
drive_033,10,6,0.672473,car,car,True
drive_033,11,8,0.87052,car,car,True
drive_033,12,10,0.804087,car,car,True
drive_033,13,12,0.902811,bus,van,False
drive_033,14,2,0.840348,truck,bus,False
drive_033,16,11,0.87612,car,car,True
drive_033,29,1,0.936284,bus,van,False
drive_033,30,3,0.744109,car,car,True
drive_033,31,4,0.631435,car,car,True
drive_033,32,9,0.705172,car,car,True
drive_038,2,1,0.902611,car,car,True
drive_038,3,2,0.884192,car,car,True
drive_038,4,3,0.870393,car,car,True
drive_038,5,4,0.882184,car,car,True
drive_038,6,5,0.801786,van,bus,False
drive_038,7,15,0.875179,van,truck,False
drive_038,8,9,0.816365,truck,bus,False
drive_038,9,17,0.914037,car,car,True
drive_038,10,16,0.630757,car,car,True
drive_038,11,14,0.715278,car,car,True
drive_038,12,13,0.688003,car,car,True
drive_038,13,10,0.474981,car,car,True
drive_038,14,8,0.763653,car,car,True
drive_038,15,7,0.890208,car,car,True
drive_038,16,11,0.760288,car,car,True
drive_038,17,12,0.509937,car,car,True
drive_038,18,6,0.858819,car,car,True
drive_008,3,1,0.863006,truck,bus,False
drive_008,4,9,0.915202,bus,van,False
drive_008,5,12,0.668752,car,truck,False
drive_008,6,3,0.855286,car,truck,False
drive_008,7,2,0.81889,car,car,True
drive_008,8,5,0.703774,car,truck,False
drive_008,12,13,0.476806,car,car,True
drive_008,13,14,0.626125,car,car,True
drive_008,14,15,0.028991,car,car,True
drive_008,17,4,0.760389,car,car,True
drive_008,24,7,0.77353,car,car,True
drive_008,26,16,0.90187,car,car,True
drive_008,27,11,0.846351,car,car,True
drive_008,28,6,0.750516,car,car,True
